Date,Region,Product,Quantity,Unit Price,Revenue
2025-01-01,North,Laptop,2,700.0,
2025-02-01,South,Smartphone,3,600.0,
2025-03-01,East,Tablet,4,300.0,
2025-01-05,North,Laptop,2,700.0,
2025-01-07,South,Smartphone,5,300.0,
2025-01-09,East,Tablet,3,250.0,
2025-01-12,North,Laptop,1,700.0,
2025-01-15,West,Smartwatch,4,150.0,
2025-01-17,South,Laptop,1,700.0,
2025-01-20,East,Smartphone,2,300.0,
2025-01-25,North,Smartwatch,3,150.0,
2025-01-30,West,Tablet,2,250.0,
2025-04-28,north,Tablet,5,250.0,
2025-02-28,East,Tablet,4,270.0,1080.0
2025-02-28,South,Smartphone,4,500.0,2000.0
2024-02-12,East,Smartwatch,2,100.0,200.0
2025-04-24,South,Smartwatch,5,350.0,1750.0
2024-09-27,South,Laptop,10,2000.0,20000.0
